week,above_median
1,0.0
2,0.0
3,0.0033333333333333335
4,0.18533333333333332
5,0.5
6,0.6926666666666667
7,0.8253333333333334
8,0.9053333333333333
9,0.9506666666666667
10,0.9626666666666667
11,0.96
12,0.9506666666666667
13,0.936
14,0.922
15,0.8693333333333333
16,0.796
17,0.7033333333333334
18,0.5953333333333334
19,0.49733333333333335
20,0.4053333333333333
21,0.33266666666666667
22,0.268
23,0.224
24,0.18666666666666668
25,0.15533333333333332
26,0.13066666666666665
27,0.09933333333333333
28,0.08266666666666667
29,0.06466666666666666
30,0.04933333333333333
31,0.03866666666666667
32,0.02666666666666667
33,0.025333333333333333
34,0.017333333333333333
35,0.012
36,0.008666666666666666
37,0.006
