week,above_median
1,0.0
2,0.0
3,0.00042857142857142855
4,0.011714285714285714
5,0.04228571428571429
6,0.12471428571428571
7,0.30057142857142854
8,0.5
9,0.6344285714285715
10,0.7358571428571429
11,0.8175714285714286
12,0.8771428571428571
13,0.9308571428571428
14,0.9804285714285714
15,0.9941428571428571
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,0.9981428571428571
32,0.9911428571428571
33,0.9878571428571429
34,0.9661428571428572
35,0.8828571428571429
36,0.6958571428571428
37,0.4774285714285714
