week,above_median
1,0.009714285714285713
2,0.008571428571428572
3,0.011714285714285714
4,0.017857142857142856
5,0.03042857142857143
6,0.06571428571428571
7,0.1357142857142857
8,0.2744285714285714
9,0.5
10,0.6711428571428572
11,0.7885714285714286
12,0.855
13,0.903
14,0.9331428571428572
15,0.9568571428571429
16,0.9645714285714285
17,0.9768571428571429
18,0.9845714285714285
19,0.9877142857142858
20,0.9892857142857143
21,0.989
22,0.9925714285714285
23,0.9921428571428571
24,0.9921428571428571
25,0.9925714285714285
26,0.9917142857142857
27,0.9931428571428571
28,0.9904285714285714
29,0.9901428571428571
30,0.9885714285714285
31,0.9861428571428571
32,0.9804285714285714
33,0.9732857142857143
34,0.961
35,0.9518571428571428
36,0.932
37,0.9124285714285715
