week,above_median
1,0.038
2,0.026285714285714287
3,0.030857142857142857
4,0.05028571428571429
5,0.11771428571428572
6,0.266
7,0.5
8,0.6804285714285714
9,0.802
10,0.8692857142857143
11,0.9187142857142857
12,0.9498571428571428
13,0.9677142857142857
14,0.9767142857142858
15,0.9841428571428571
16,0.9865714285714285
17,0.9888571428571429
18,0.992
19,0.9902857142857143
20,0.9917142857142857
21,0.9928571428571429
22,0.993
23,0.9931428571428571
24,0.992
25,0.9915714285714285
26,0.99
27,0.9902857142857143
28,0.9875714285714285
29,0.9831428571428571
30,0.979
31,0.9685714285714285
32,0.959
33,0.9471428571428572
34,0.9252857142857143
35,0.8975714285714286
36,0.8681428571428571
37,0.8295714285714286
