week,above_median
1,0.19128571428571428
2,0.234
3,0.289
4,0.35
5,0.41928571428571426
6,0.5
7,0.5838571428571429
8,0.6847142857142857
9,0.7732857142857142
10,0.834
11,0.882
12,0.9138571428571428
13,0.934
14,0.9475714285714286
15,0.958
16,0.9632857142857143
17,0.966
18,0.9677142857142857
19,0.9691428571428572
20,0.9672857142857143
21,0.964
22,0.9588571428571429
23,0.9512857142857143
24,0.9385714285714286
25,0.9132857142857143
26,0.883
27,0.8304285714285714
28,0.7614285714285715
29,0.6704285714285714
30,0.555
31,0.4595714285714286
32,0.36857142857142855
33,0.3067142857142857
34,0.26285714285714284
35,0.2312857142857143
36,0.205
37,0.18485714285714286
