week,above_median
1,0.004285714285714286
2,0.0034285714285714284
3,0.004571428571428572
4,0.007
5,0.13585714285714287
6,0.23485714285714285
7,0.439
8,0.4134285714285714
9,0.5
10,0.5474285714285714
11,0.5694285714285714
12,0.5845714285714285
13,0.6031428571428571
14,0.599
15,0.6088571428571429
16,0.6071428571428571
17,0.6108571428571429
18,0.6071428571428571
19,0.5951428571428572
20,0.5964285714285714
21,0.579
22,0.5665714285714286
23,0.5492857142857143
24,0.5324285714285715
25,0.5132857142857142
26,0.4982857142857143
27,0.47814285714285715
28,0.45585714285714285
29,0.429
30,0.40585714285714286
31,0.3767142857142857
32,0.3545714285714286
33,0.326
34,0.30914285714285716
35,0.2774285714285714
36,0.253
37,0.23857142857142857
