week,above_median
1,0.00014285714285714287
2,0.00014285714285714287
3,0.0008571428571428571
4,0.0014285714285714286
5,0.051571428571428574
6,0.14442857142857143
7,0.41114285714285714
8,0.5
9,0.5431428571428571
10,0.5622857142857143
11,0.5554285714285714
12,0.548
13,0.5322857142857143
14,0.5072857142857143
15,0.48528571428571426
16,0.4644285714285714
17,0.45385714285714285
18,0.4297142857142857
19,0.4107142857142857
20,0.4025714285714286
21,0.39185714285714285
22,0.371
23,0.34114285714285714
24,0.313
25,0.28
26,0.2547142857142857
27,0.22642857142857142
28,0.211
29,0.18957142857142859
30,0.1672857142857143
31,0.14985714285714286
32,0.131
33,0.11785714285714285
34,0.11114285714285714
35,0.10085714285714285
36,0.09314285714285714
37,0.08257142857142857
