week,above_median
1,0.0005714285714285715
2,0.00028571428571428574
3,0.00028571428571428574
4,0.00028571428571428574
5,0.02142857142857143
6,0.04842857142857143
7,0.15414285714285714
8,0.15371428571428572
9,0.38785714285714284
10,0.398
11,0.49985714285714283
12,0.54
13,0.5787142857142857
14,0.5987142857142858
15,0.6032857142857143
16,0.6058571428571429
17,0.6041428571428571
18,0.5972857142857143
19,0.5877142857142857
20,0.579
21,0.5738571428571428
22,0.5508571428571428
23,0.5381428571428571
24,0.5072857142857143
25,0.492
26,0.46114285714285713
27,0.43657142857142855
28,0.4052857142857143
29,0.379
30,0.34185714285714286
31,0.31414285714285717
32,0.2887142857142857
33,0.25985714285714284
34,0.22457142857142856
35,0.19357142857142856
36,0.16171428571428573
37,0.14542857142857143
