week,above_median
1,0.10533333333333333
2,0.052
3,0.29333333333333333
4,0.38533333333333336
5,0.5
6,0.594
7,0.6806666666666666
8,0.74
9,0.8033333333333333
10,0.84
11,0.8513333333333334
12,0.8786666666666667
13,0.8973333333333333
14,0.916
15,0.922
16,0.9333333333333333
17,0.9386666666666666
18,0.93
19,0.9493333333333334
20,0.932
21,0.9333333333333333
22,0.9226666666666666
23,0.9026666666666666
24,0.888
25,0.8726666666666667
26,0.8606666666666667
27,0.84
28,0.7913333333333333
29,0.708
30,0.61
31,0.49733333333333335
32,0.418
33,0.35
34,0.29733333333333334
35,0.252
36,0.19
37,0.11066666666666666
