week,above_median
1,0.031857142857142855
2,0.031142857142857142
3,0.06485714285714286
4,0.06557142857142857
5,0.348
6,0.5
7,0.6327142857142857
8,0.7345714285714285
9,0.819
10,0.8637142857142858
11,0.8962857142857142
12,0.9141428571428571
13,0.9358571428571428
14,0.9402857142857143
15,0.9464285714285714
16,0.957
17,0.9608571428571429
18,0.962
19,0.9665714285714285
20,0.9652857142857143
21,0.958
22,0.9447142857142857
23,0.9314285714285714
24,0.9127142857142857
25,0.892
26,0.8738571428571429
27,0.8461428571428572
28,0.8241428571428572
29,0.7904285714285715
30,0.7475714285714286
31,0.7024285714285714
32,0.6644285714285715
33,0.624
34,0.5947142857142858
35,0.5495714285714286
36,0.4784285714285714
37,0.3737142857142857
