week,above_median
1,0.0034285714285714284
2,0.0034285714285714284
3,0.005142857142857143
4,0.019428571428571427
5,0.2072857142857143
6,0.3698571428571429
7,0.5
8,0.5431428571428571
9,0.565
10,0.5718571428571428
11,0.5627142857142857
12,0.5575714285714286
13,0.5441428571428572
14,0.5252857142857142
15,0.5061428571428571
16,0.493
17,0.47514285714285714
18,0.45385714285714285
19,0.44671428571428573
20,0.4402857142857143
21,0.44014285714285717
22,0.43042857142857144
23,0.4184285714285714
24,0.39985714285714286
25,0.36742857142857144
26,0.3397142857142857
27,0.31685714285714284
28,0.2862857142857143
29,0.257
30,0.23742857142857143
31,0.21642857142857144
32,0.19442857142857142
33,0.1757142857142857
34,0.15657142857142858
35,0.14242857142857143
36,0.12857142857142856
37,0.11885714285714286
